lat;lng;couvert;capacite;payant;type
49.0340512949;2.1284478997;OUI;10;NON;arceaux
48.4276437949;2.14528102153;OUI;10;NON;arceaux
48.7016052949;2.1344499997;NON;0;NON;inconnu
48.7088934949;2.1434545997;OUI;0;NON;inconnu
48.7097158449;2.14669844912;OUI;0;NON;inconnu
48.4361179949;2.1611459997;NON;2;NON;arceaux
48.6949893949;2.1530955997;NON;0;NON;inconnu
48.6971246949;2.1592942997;OUI;0;NON;arceaux
48.7087072949;2.1604288997;OUI;0;NON;inconnu
48.7099887949;2.1626503997;OUI;0;NON;arceaux
48.6826445949;2.1641781997;NON;10;NON;arceaux
48.6971230949;2.1641564997;NON;3;NON;ratelier
48.7106754949;2.1645976997;NON;32;NON;arceaux
48.7098212949;2.1653741997;NON;26;NON;arceaux
48.7103170949;2.1664858997;NON;22;NON;arceaux
48.7101878949;2.1664952997;NON;12;NON;arceaux
48.6997948949;2.1686088997;NON;14;NON;arceaux
48.8027469949;2.1344838997;NON;4;NON;ancrage
48.7967190949;2.1356268997;NON;16;NON;arceaux
48.7965740949;2.1356766997;NON;12;NON;arceaux
48.7962846949;2.1357797997;NON;20;NON;arceaux
48.8040549949;2.1353550997;NON;2;NON;arceaux
48.8006180949;2.1374340997;NON;0;NON;inconnu
48.7944491949;2.1376662997;OUI;8;NON;arceaux
48.8013834949;2.1392723997;OUI;24;NON;arceaux
48.8481047949;2.1361978997;NON;4;NON;arceaux
48.8476694949;2.1362664997;NON;6;NON;arceaux
48.8825572949;2.1377126997;NON;0;NON;inconnu
48.8786717949;2.1427339997;NON;2;NON;inconnu
48.7107596949;2.1449853997;NON;0;NON;inconnu
48.7269610949;2.1458315997;NON;10;NON;ratelier
48.7284738949;2.1466737997;OUI;10;NON;ratelier
48.7257853949;2.1477677997;NON;5;NON;ratelier
48.7706402949;2.1464442997;OUI;8;NON;arceaux
48.7115298949;2.1483534997;NON;40;NON;arceaux
48.7188516949;2.1501405997;OUI;12;NON;arceaux
48.7945500949;2.1509333997;NON;0;NON;inconnu
48.8067552949;2.1507488997;NON;0;NON;inconnu
48.8781750949;2.1436752997;NON;2;NON;arceaux
48.8779336949;2.1445911997;NON;0;NON;inconnu
48.9461377949;2.1443140997;NON;0;NON;inconnu
48.9988947949;2.1520161997;NON;4;NON;arceaux
48.7219748949;2.1526577997;NON;6;NON;ratelier
48.7296061949;2.1529849997;OUI;20;NON;ratelier
48.7255774949;2.1538647997;OUI;5;NON;ratelier
48.7273462949;2.1537152997;OUI;10;NON;abri
48.7236774949;2.1560115997;NON;10;NON;arceaux
48.7272223949;2.1569455997;OUI;0;NON;arceaux
48.7941444949;2.1543949997;NON;6;NON;arceaux
48.7971997949;2.1538270997;NON;10;NON;arceaux
48.8774856949;2.1533875997;NON;2;NON;arceaux
48.8851770949;2.1541023997;NON;0;NON;inconnu
48.8855230949;2.1552538997;NON;0;NON;inconnu
48.8024688949;2.1701371997;NON;8;NON;arceaux
